freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR,MED_E,DEG1,F,TOTAL,LU	24257 	25171 	26235 	27148 	26849 	27745 	28358 	29337 	29586 	35342 b	33803 	36803 	36853 	35435 b	39992 	36636 	38479 	43067 b	51678 b	55292 b
A,EUR,MED_E,DEG1,F,TOTAL,LV	: 	: 	2376 	2990 	3883 	5320 	5750 	4918 	4502 	4646 b	5075 	5610 	6358 	6857 	7240 	7974 	8676 	9120 	9483 	10597 
A,EUR,MED_E,DEG1,F,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2502 	2670 	2722 	2976 	3231 	: 	: 
A,EUR,MED_E,DEG1,F,TOTAL,MT	: 	: 	8455 	8901 	9146 	9724 	10219 	10198 	10544 	11149 b	11824 	12610 	13361 	13523 	14249 	14520 	15060 	16078 	15686 	16013 
A,EUR,MED_E,DEG1,F,TOTAL,NL	: 	: 	16911 	17156 	18316 	19576 	20221 	20377 	20357 	20023 b	20282 	20712 	20598 	22000 b	23037 	23183 	23932 	24893 	27521 	28411 
A,EUR,MED_E,DEG1,F,TOTAL,NO	: 	27005 	26065 	28367 	29457 	32330 	34461 	33318 	37518 	41206 b	43993 	: 	41604 	39025 	37807 	38778 	39073 	40963 	35132 b	39161 
A,EUR,MED_E,DEG1,F,TOTAL,PL	: 	: 	2954 	3700 	4143 	4903 	5995 	5117 	5859 	5972 b	5999 	6233 	6489 	6761 	6840 	7306 	8045 	8933 	9189 	9977 
A,EUR,MED_E,DEG1,F,TOTAL,PT	: 	7920 	8343 	8275 	8437 	9202 	9253 	9749 	9377 	9222 b	8840 	8957 	8985 	9424 	9768 	10076 	10733 	12048 	12044 	12161 
A,EUR,MED_E,DEG1,F,TOTAL,RO	: 	: 	: 	: 	2193 	2694 	2892 	2742 	2783 	2794 b	2537 	2953 	2952 	3323 	3772 	4697 	5351 	5866 	6774 	7315 
A,EUR,MED_E,DEG1,F,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3076 	3068 	3079 	2921 	2953 	3198 	3904 	4217 	4659 	5139 
A,EUR,MED_E,DEG1,F,TOTAL,SE	: 	17983 	18036 	19414 	20056 	21081 b	21736 	19080 	21407 	24351 b	25142 	25601 	24848 	25005 	26105 	26517 	24760 	25093 	25821 	27155 
A,EUR,MED_E,DEG1,F,TOTAL,SI	: 	: 	9333 	9893 	10840 	11667 	12509 	12453 	12756 	12630 b	11883 	12300 	12649 	12534 	12866 	13433 	14139 	14525 	15762 	16168 
A,EUR,MED_E,DEG1,F,TOTAL,SK	: 	: 	3016 	3698 	4331 	5319 	6570 	7123 	7202 	7844 b	7382 	7397 	7477 	7777 	7879 	8454 	8988 	9558 	9305 	9807 
A,EUR,MED_E,DEG1,F,TOTAL,UK	: 	: 	17758 	18568 	20273 	18244 	15468 	16160 	16312 	18553 b	17659 	19217 	19788 	20142 	20076 b	20564 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2306 	2529 	2669 	3278 	3285 	: 
A,EUR,MED_E,DEG1,F,Y18-64,AT	16433 	17279 	19004 	18638 	18387 	19759 b	21287 	21058 	21014 	20516 b	21315 	22646 	22827 	22343 	23990 	24160 	24514 	25724 	26326 	26164 
A,EUR,MED_E,DEG1,F,Y18-64,BE	15844 	16508 	16904 	17548 	17889 	18038 	20098 	19622 	20306 	19200 b	20011 	20472 	19444 	19438 	19796 	21584 	22726 b	24396 	24350 	26337 
A,EUR,MED_E,DEG1,F,Y18-64,BG	: 	: 	: 	1765 	1825 	2845 	3609 	3891 	3932 	3633 b	3927 	4324 	4437 	4261 b	4872 	4797 	5544 	6153 	6559 	7103 
A,EUR,MED_E,DEG1,F,Y18-64,CH	: 	: 	: 	: 	30586 	30113 	32708 	33342 	37138 	40976 b	42842 	40257 b	41114 	46227 	45998 	44818 	42620 	46972 	48037 	49442 
A,EUR,MED_E,DEG1,F,Y18-64,CY	: 	: 	14866 	16218 	17533 	18324 b	18163 	18290 	18820 	18838 b	17638 	16157 	15934 	16304 	16869 	17112 	18598 	18260 	18752 	20112 
A,EUR,MED_E,DEG1,F,Y18-64,CZ	: 	: 	4884 	5440 	6255 	6720 	8288 	8026 	8358 	8705 b	8490 	8458 	8394 	8731 	9241 	10178 	11253 	12111 	12454 	14114 
A,EUR,MED_E,DEG1,F,Y18-64,DE	: 	: 	17126 	16060 	18798 	19360 	19609 	19828 	19965 	19309 b	19503 	19777 	20565 	21519 	22128 	22761 	23607 	26178 b	25422 	25849 
A,EUR,MED_E,DEG1,F,Y18-64,DK	22225 	22619 	23386 	23683 	24519 	24629 	26444 	27455 	28846 b	28185 b	26951 	28796 	28309 	28629 	29997 	29983 	30717 	30653 b	32194 	33919 
A,EUR,MED_E,DEG1,F,Y18-64,EA	: 	: 	: 	: 	: 	18116 e	18450 e	18641 e	18392 e	18010 e	17938 e	18008 e	18316 e	18827 e	19450 e	19867 e	20118 	21379 b	21380 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA18	: 	: 	15491 	15498 	16472 	17846 	18320 	18501 	18303 	17918 	17857 	18008 	18429 	18933 	19555 	19968 	20218 	21477 b	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA19	: 	: 	15362 	15375 	16355 	17727 	18206 	18377 	18183 	17797 	17742 	17895 	18316 	18827 	19450 	19867 	20118 	21379 b	21380 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17916 	18223 	18730 	19350 	19768 	20018 	21279 	21271 	21961 
A,EUR,MED_E,DEG1,F,Y18-64,EE	: 	3009 	3589 	4344 	5015 	6311 	7152 	6510 	6228 	7176 b	7658 	8952 b	9782 	10542 	11526 	12012 	12940 	13525 	14628 	18091 
A,EUR,MED_E,DEG1,F,Y18-64,EL	9894 	10400 	10961 	11449 	11951 	12762 	12875 	14000 	12000 	10005 b	8693 	8400 	8240 	8210 	8324 	8500 	9200 	9769 	9560 	10200 
A,EUR,MED_E,DEG1,F,Y18-64,ES	: 	12171 	12342 	13190 	13546 	16275 b	16976 	17198 	16330 	15784 b	15625 	15048 	15166 	15125 	15905 	16517 	16931 	17859 	17504 	18004 
A,EUR,MED_E,DEG1,F,Y18-64,EU	: 	: 	: 	: 	: 	16234 e	16203 e	16276 e	16220 e	16455 e	16427 e	16786 e	17237 e	17749 e	18216 e	18736 e	18990 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EU27_2007	: 	: 	14007 e	14590 e	15688 	16234 	16203 	16330 	16278 	16514 	16483 	16841 	17293 	17807 	18274 	18795 	19048 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	15979 e	15953 e	15730 e	15819 e	15999 e	16312 e	16857 e	17491 e	17970 e	18249 e	19442 b	19560 	20309 
A,EUR,MED_E,DEG1,F,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	16276 	16220 	16454 	16427 	16786 	17237 	17749 	18216 	18736 	18990 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,FI	: 	18977 	19453 	19977 	21121 	22317 	23610 	24261 	24766 	25469 b	25820 	25541 	26176 	26069 	26021 	26724 	26819 	27521 	27394 	28225 
A,EUR,MED_E,DEG1,F,Y18-64,FR	: 	16023 	16913 	17003 	16902 	19539 b	20354 	20252 	20113 	21501 b	21281 	21619 	22186 	22541 	22733 	22828 	22515 	22166 b	23048 	23337 b
A,EUR,MED_E,DEG1,F,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	7300 	6660 	6614 b	6532 	6316 	6861 	7275 	7566 	8252 	8956 	9585 	9959 	10768 
A,EUR,MED_E,DEG1,F,Y18-64,HU	: 	: 	4217 	4809 	4763 	5112 	5552 	5138 	5544 	5511 b	5216 	5340 	5632 	5891 	5937 	6102 	6879 	7591 	7844 	7700 
A,EUR,MED_E,DEG1,F,Y18-64,IE	20113 	21283 	22985 	25025 	27844 	28755 	26363 	24006 	22794 	24090 b	23318 	22864 	23894 	25929 	26329 	27807 	28689 	30883 b	32057 	34207 
A,EUR,MED_E,DEG1,F,Y18-64,IS	: 	23590 	25672 	30882 	31806 	36519 	24080 	19133 	20231 	20752 b	22474 	24059 	26138 	31263 	35963 	41999 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,IT	: 	14879 	15606 	15702 	16101 	16728 	16779 	17379 	17149 	16909 	16563 	16572 	16620 b	16783 	17206 	17512 	17232 	18656 	17943 	19155 
A,EUR,MED_E,DEG1,F,Y18-64,LT	: 	: 	2738 	3315 	4164 	5199 	6042 	5054 	4878 	5674 b	6116 	6226 	7175 	7919 	8343 	8783 	9916 	10623 	11891 	12787 
A,EUR,MED_E,DEG1,F,Y18-64,LU	24505 	26008 	26627 	27486 	27019 	27955 	29013 	29494 	30015 	37439 b	35764 	36958 	36853 	35955 b	39730 	35968 	40439 	42865 b	52353 b	57083 b
A,EUR,MED_E,DEG1,F,Y18-64,LV	: 	: 	2595 	3408 	4360 	5906 	6443 	5416 	4824 	5118 b	5728 	6390 	7059 	7613 	8270 	9098 	10182 	10248 	10616 	11490 
A,EUR,MED_E,DEG1,F,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2543 	2697 	2768 	2983 	3338 	: 	: 
A,EUR,MED_E,DEG1,F,Y18-64,MT	: 	: 	9246 	9759 	9829 	10758 	11221 	10967 	11487 	12093 b	12840 	13664 	14601 	14849 	15971 	16037 	16787 	17436 	17187 	18296 
A,EUR,MED_E,DEG1,F,Y18-64,NL	: 	: 	17920 	18196 	19293 	20564 	21156 	21273 	21414 	20414 b	20807 	21604 	21313 	22897 b	24259 	24126 	25129 	26142 	29155 	29890 
A,EUR,MED_E,DEG1,F,Y18-64,NO	: 	28499 	27460 	29697 	31152 	33987 	35703 	35183 	39513 	42554 b	45593 	: 	41998 	39915 	38471 	39484 	40148 	41792 	35561 b	39698 
A,EUR,MED_E,DEG1,F,Y18-64,PL	: 	: 	3066 	3847 	4271 	5116 	6337 	5411 	6138 	6223 b	6222 	6544 	6772 	7111 	7156 	7684 	8492 	9535 	9773 	10670 
A,EUR,MED_E,DEG1,F,Y18-64,PT	: 	8562 	8786 	8876 	9252 	9806 	9854 	10368 	9874 	9600 b	9149 	9238 	9212 	9797 	10140 	10456 	11011 	12142 	12295 	12291 
A,EUR,MED_E,DEG1,F,Y18-64,RO	: 	: 	: 	: 	2294 	2869 	3050 	2864 	2893 	2879 b	2628 	3019 	3077 	3406 	3892 	5047 	5944 	6339 	7392 	7693 
A,EUR,MED_E,DEG1,F,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3153 	3123 	3160 	2982 	3070 	3264 	3974 	4362 	4835 	5252 
A,EUR,MED_E,DEG1,F,Y18-64,SE	: 	19389 	19733 	20583 	21402 	22610 b	22818 	20137 	22696 	25919 b	26879 	27329 	26805 	27297 	28232 	28466 	26665 	26747 	27729 	29340 
A,EUR,MED_E,DEG1,F,Y18-64,SI	: 	: 	9851 	10607 	11374 	12154 	13047 	13189 	13543 	13157 b	12603 	12808 	13092 	12880 	13045 	13706 	14699 	15357 	16375 	17099 
A,EUR,MED_E,DEG1,F,Y18-64,SK	: 	: 	3166 	3902 	4628 	5670 	7006 	7569 	7576 	8414 b	7795 	7813 	7893 	8278 	8627 	9253 	9782 	10385 	9664 	10189 
A,EUR,MED_E,DEG1,F,Y18-64,UK	: 	: 	19978 	21057 	22643 	20253 	17052 	17842 	17745 	20108 b	19495 	20663 	21673 	21768 	21560 b	22279 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2278 	2484 	2643 	3179 	3162 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,AT	16333 	17260 	19068 	18500 	18455 	19113 b	20736 	20953 	20949 	20636 b	21331 	22981 	23143 	22898 	24306 	24441 	25234 	26021 	26863 	26322 
A,EUR,MED_E,DEG1,F,Y_GE18,BE	14575 	15209 	15533 	16075 	16504 	16931 	18723 	18550 	18723 	17600 b	18787 	19241 	18980 	18750 	19680 	20678 	21301 b	22708 	23175 	24417 
A,EUR,MED_E,DEG1,F,Y_GE18,BG	: 	: 	: 	1628 	1689 	2597 	3277 	3735 	3642 	3395 b	3670 	4050 	4021 	3935 b	4430 	4302 	4932 	5416 	5864 	6151 
A,EUR,MED_E,DEG1,F,Y_GE18,CH	: 	: 	: 	: 	29012 	28214 	29820 	31368 	34312 	38681 b	40050 	38370 b	39309 	43917 	43411 	43316 	40423 	43674 	44810 	46389 
A,EUR,MED_E,DEG1,F,Y_GE18,CY	: 	: 	13844 	15114 	16416 	17011 b	17036 	17087 	17471 	17627 b	16702 	15211 	14996 	15476 	15891 	16697 	17739 	17655 	17923 	19262 
A,EUR,MED_E,DEG1,F,Y_GE18,CZ	: 	: 	4405 	5016 	5739 	6181 	7701 	7541 	7738 	8142 b	8034 	7934 	7653 	7831 	8209 	9013 	10023 	10879 	11264 	12487 
A,EUR,MED_E,DEG1,F,Y_GE18,DE	: 	: 	16760 	15681 	17687 	18245 	18522 	18854 	19160 	18673 b	18851 	19028 	19783 	20441 	21012 	21511 	22304 	25062 b	24234 	24596 
A,EUR,MED_E,DEG1,F,Y_GE18,DK	20298 	20473 	21215 	21812 	22916 	22792 	24326 	24689 	26630 b	26372 b	25394 	27181 	26996 	26996 	28958 	28880 	29491 	29586 b	30377 	32035 
A,EUR,MED_E,DEG1,F,Y_GE18,EA	: 	: 	: 	: 	: 	17349 e	17702 e	17974 e	17839 e	17635 e	17675 e	17723 e	17933 e	18426 e	18969 e	19325 e	19430 	20765 b	20704 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,EA18	: 	: 	14961 	14899 	15741 	17092 	17567 	17830 	17746 	17538 	17586 	17723 	18057 	18544 	19082 	19436 	19538 	20873 b	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,EA19	: 	: 	14840 	14784 	15633 	16978 	17458 	17711 	17627 	17414 	17465 	17603 	17933 	18426 	18969 	19325 	19430 	20765 b	20704 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17630 	17839 	18326 	18868 	19222 	19324 	20654 	20589 	21099 
A,EUR,MED_E,DEG1,F,Y_GE18,EE	: 	2665 	3135 	3778 	4490 	5714 	6447 	5937 	5631 	6298 b	6872 	7296 b	8288 	8963 	9889 	10399 	11017 	11968 	12653 	14448 
A,EUR,MED_E,DEG1,F,Y_GE18,EL	9467 	10020 	10490 	10736 	11420 	12133 	12400 	13476 	11565 	10040 b	8700 	8384 	8270 	8253 	8387 	8500 	9150 	9768 	9547 	10126 
A,EUR,MED_E,DEG1,F,Y_GE18,ES	: 	11544 	11523 	12157 	12788 	15428 b	16201 	16322 	15653 	15466 b	15398 	14871 	14808 	14845 	15552 	16100 	16476 	17689 	17400 	17962 
A,EUR,MED_E,DEG1,F,Y_GE18,EU	: 	: 	: 	: 	: 	15480 e	15515 e	15656 e	15697 e	16012 e	16056 e	16405 e	16691 e	17210 e	17629 e	18021 e	18139 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,EU27_2007	: 	: 	13440 e	13887 e	14914 	15480 	15515 	15710 	15756 	16072 	16111 	16461 	16747 	17270 	17689 	18083 	18200 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	15467 e	15518 e	15399 e	15560 e	15713 e	15933 e	16433 e	16980 e	17373 e	17490 e	18723 b	18791 	19361 
A,EUR,MED_E,DEG1,F,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	15656 	15697 	16012 	16056 	16405 	16691 	17210 	17629 	18021 	18139 e	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,FI	: 	17885 	18398 	19019 	19715 	20905 	22147 	22918 	23060 	23851 b	23656 	24191 	24296 	24599 	24828 	25477 	25347 	25935 	25285 	26780 
A,EUR,MED_E,DEG1,F,Y_GE18,FR	: 	15762 	16669 	16691 	16766 	19489 b	20172 	20242 	20362 	21580 b	21707 	21961 	22250 	22833 	23056 	23086 	22623 	22298 b	22739 	22813 b
A,EUR,MED_E,DEG1,F,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	6743 	6304 	6329 b	6275 	5938 	6445 	6616 	7168 	7610 	8133 	8351 	8876 	9352 
A,EUR,MED_E,DEG1,F,Y_GE18,HU	: 	: 	4089 	4570 	4546 	5021 	5498 	5028 	5298 	5324 b	5151 	5275 	5530 	5696 	5786 	5886 	6312 	7130 	7362 	7347 
A,EUR,MED_E,DEG1,F,Y_GE18,IE	19061 	20278 	21975 	23541 	26141 	27609 	25475 	23477 	22521 	23377 b	23120 	22616 	23843 	25043 	25627 	27315 	27458 	30091 b	30634 	31259 
A,EUR,MED_E,DEG1,F,Y_GE18,IS	: 	22726 	24494 	29854 	30327 	34646 	23476 	18845 	19717 	20075 b	21915 	23454 	25674 	30502 	35334 	41034 	: 	: 	: 	: 
A,EUR,MED_E,DEG1,F,Y_GE18,IT	: 	14293 	14798 	14980 	15407 	16023 	16038 	16671 	16496 	16520 	16259 	16385 	16545 b	16983 	17245 	17519 	17340 	18573 	18427 	19061 
A,EUR,MED_E,DEG1,F,Y_GE18,LT	: 	: 	2498 	3044 	3796 	4813 	5622 	4758 	4441 	5079 b	5461 	5502 	6089 	6701 	7323 	7800 	8622 	9206 	10489 	10762 
