freq,unit,indic_il,deg_urb,sex,age,geo\TIME_PERIOD	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR,MEI_E,DEG3,M,TOTAL,EE	: 	3047 	3380 	4135 	4949 	6045 	6610 	6227 	6240 	6733 b	7337 	8336 b	9019 	9656 	10131 	10611 	11408 	12408 	13997 	16524 
A,EUR,MEI_E,DEG3,M,TOTAL,EL	8090 	9499 	10515 	10171 	10423 	11241 	11969 	12178 	11667 	9524 b	8328 	7701 	7610 	7542 	7851 	7840 	8132 	8702 	8633 	9762 
A,EUR,MEI_E,DEG3,M,TOTAL,ES	: 	9755 	10246 	10947 	11334 	14125 b	14968 	14590 	13850 	13762 b	12891 	12847 	12770 	13236 	13888 	14357 	14584 	15774 	16552 	17523 
A,EUR,MEI_E,DEG3,M,TOTAL,EU	: 	: 	: 	: 	: 	12737 e	12988 e	13112 e	13169 e	15742 e	15282 e	15473 e	16092 e	16417 e	16907 e	17368 e	17929 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,TOTAL,EU27_2007	: 	: 	10167 e	10489 e	11172 e	12737 e	12988 e	13225 e	13290 e	15898 e	15423 e	15620 e	16241 e	16552 e	17033 e	17490 e	18049 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12381 e	12523 e	15201 e	14767 e	14784 e	15281 e	15549 e	16196 e	16761 e	17341 e	18157 b	18630 	19329 
A,EUR,MEI_E,DEG3,M,TOTAL,EU28	: 	: 	: 	: 	: 	: 	: 	13112 e	13169 e	15742 e	15282 e	15473 e	16092 e	16417 e	16907 e	17368 e	17929 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,TOTAL,FI	: 	18025 	18678 	19311 	19962 	21166 	21947 	22505 	23141 	24068 b	24566 	24905 	24857 	24644 	25223 	26217 	26771 	26970 	27311 	28325 
A,EUR,MEI_E,DEG3,M,TOTAL,FR	: 	16146 	16871 	16776 	16986 	21234 b	21366 	22036 	21285 	23410 b	23418 	23399 	23611 	23646 	24440 	24484 	24792 	24690 b	25180 	25895 b
A,EUR,MEI_E,DEG3,M,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	5887 	5705 	5441 b	5173 	5291 	5501 	5681 	6152 	6660 	7401 	8024 	8065 	8951 
A,EUR,MEI_E,DEG3,M,TOTAL,HU	: 	: 	3386 	3877 	3785 	4306 	4627 	4100 	4412 	4452 b	4256 	4474 	4700 	4798 	5158 	5539 	6042 	6469 	6798 	7386 
A,EUR,MEI_E,DEG3,M,TOTAL,IE	17460 	18511 	19054 	21667 	23440 	24163 	23311 	21313 	21199 	21069 b	21288 	21489 	23301 	23428 	25577 	27155 	27950 	28316 b	28619 	28700 
A,EUR,MEI_E,DEG3,M,TOTAL,IS	: 	23603 	25169 	29658 	29972 	33554 	23543 	19873 	20366 	21353 b	23219 	24592 	28083 	31075 	36706 	41479 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,TOTAL,IT	: 	14239 	14848 	15315 	15812 	16436 	16460 	16913 	16572 	16096 	15583 	15415 	16944 b	16976 	17664 	18073 	18703 	19215 	19057 	20105 
A,EUR,MEI_E,DEG3,M,TOTAL,LT	: 	: 	2145 	2499 	3353 	4190 	5105 	4292 	4013 	4314 b	5103 	5269 	5761 	6146 	6342 	7272 	8315 	9459 	11068 	11435 
A,EUR,MEI_E,DEG3,M,TOTAL,LU	30018 	30802 	31484 	32167 	33643 	34870 	36482 	35250 	35569 	38400 b	41777 	40577 	42040 	39572 b	42392 	41549 	43178 	44732 b	49598 b	49769 b
A,EUR,MEI_E,DEG3,M,TOTAL,LV	: 	: 	2176 	2616 	3611 	4939 	5713 	4890 	4563 	4860 b	5100 	5547 	6292 	6694 	7154 	8292 	9261 	9710 	9818 	10377 
A,EUR,MEI_E,DEG3,M,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2319 	2565 	2650 	2737 	3199 	: 	: 
A,EUR,MEI_E,DEG3,M,TOTAL,MT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	19736 	23695 
A,EUR,MEI_E,DEG3,M,TOTAL,NL	: 	: 	16921 	17098 	18524 	19233 	20610 	23281 	21798 	22871 b	22470 	22222 	23833 	25311 b	26081 	27610 	27421 	30168 	31493 	32959 
A,EUR,MEI_E,DEG3,M,TOTAL,NO	: 	27811 	26848 	29011 	29455 	33058 	34474 	33199 	37054 	40474 b	43775 	: 	44168 	42023 	41153 	41570 	41595 	42970 	38070 b	41854 
A,EUR,MEI_E,DEG3,M,TOTAL,PL	: 	: 	2528 	3058 	3523 	4188 	5051 	4295 	4964 	4899 b	4982 	5100 	5317 	5677 	5766 	6294 	6879 	7728 	7925 	8643 
A,EUR,MEI_E,DEG3,M,TOTAL,PT	: 	7153 	7595 	7950 	8611 	9031 	9302 	9498 	9144 	8242 b	8141 	8146 	8343 	8905 	9210 	9389 	10199 	10994 	11123 	11191 
A,EUR,MEI_E,DEG3,M,TOTAL,RO	: 	: 	: 	: 	1500 	1812 	2013 	1944 	1965 	1694 b	1869 	1924 	2279 	2086 	2366 	2876 	3291 	3712 	3985 	4717 
A,EUR,MEI_E,DEG3,M,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2228 	2154 	2206 	2386 	2453 	2459 	3128 	3568 	3808 	4271 
A,EUR,MEI_E,DEG3,M,TOTAL,SE	: 	17968 	18409 	18516 	19655 	21020 b	20992 	19448 	22411 	24622 b	26398 	26925 	26395 	26003 	25141 	25716 	24522 	24792 	26149 	27484 
A,EUR,MEI_E,DEG3,M,TOTAL,SI	: 	: 	9213 	9789 	10363 	11307 	12313 	12066 	12390 	12568 b	12318 	12509 	12928 	12888 	13284 	13841 	15110 	15708 	16327 	17607 
A,EUR,MEI_E,DEG3,M,TOTAL,SK	: 	: 	2881 	3466 	4088 	4833 	5737 	6276 	6587 	7009 b	6918 	7009 	6962 	6909 	6945 	7499 	8151 	8751 	8487 	8734 
A,EUR,MEI_E,DEG3,M,TOTAL,UK	: 	: 	29139 	26426 	28876 	23051 	20120 	22414 	21754 	24339 b	23301 	25955 	27306 	28385 	27972 b	27065 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1721 	1947 	2236 	2571 	2653 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,AT	17797 	19071 	19944 	20133 	20730 	23181 b	23829 	24858 	25110 	26509 b	25921 	27820 	28096 	28011 	29312 	29546 	30461 	31812 	32550 	34590 
A,EUR,MEI_E,DEG3,M,Y18-64,BE	16451 	18417 	18955 	21775 	20895 	21065 	23488 	22622 	23610 	23973 b	24071 	24136 	25255 	25551 	25195 	25625 	28669 b	29212 	30017 	30887 
A,EUR,MEI_E,DEG3,M,Y18-64,BG	: 	: 	: 	1439 	1616 	2562 	3078 	3058 	2952 	2776 b	2788 	3096 	3129 	2979 b	3489 	3356 	4277 	4659 	5622 	5561 
A,EUR,MEI_E,DEG3,M,Y18-64,CH	: 	: 	: 	: 	31154 	29044 	32314 	34213 	36954 	45063 b	47051 	44897 b	46306 	51970 	51799 	49752 	48391 	51274 	53821 	52322 
A,EUR,MEI_E,DEG3,M,Y18-64,CY	: 	: 	14505 	16371 	18035 	17831 b	18430 	17807 	18474 	18469 b	17638 	16905 	14772 	15012 	14958 	15979 	17533 	17744 	17802 	19201 
A,EUR,MEI_E,DEG3,M,Y18-64,CZ	: 	: 	4833 	5507 	6243 	6961 	8390 	7934 	8389 	8729 b	8857 	8698 	8604 	9245 	9985 	10582 	11756 	12601 	12681 	14120 
A,EUR,MEI_E,DEG3,M,Y18-64,DE	: 	: 	17941 	17745 	19585 	19269 	20072 	20321 	20890 	22686 b	22809 	23067 	24391 	25362 	26055 	27084 	28026 	32060 b	30751 	29933 
A,EUR,MEI_E,DEG3,M,Y18-64,DK	22803 	23624 	23985 	24997 	26075 	26613 	24527 	27495 	29164 b	31111 b	34124 	32322 	32263 	32915 	34122 	35288 	36077 	36744 b	37771 	39130 
A,EUR,MEI_E,DEG3,M,Y18-64,EA	: 	: 	: 	: 	: 	17973 e	18055 e	18295 e	17857 e	19653 e	19099 e	19304 e	19622 e	19969 e	20758 e	21288 e	22067 e	23257 b	23983 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,EA18	: 	: 	14610 e	14938 e	15809 e	17225 e	17752 e	17971 e	17650 e	19496 e	18945 e	19304 e	19884 e	20211 e	21007 e	21525 e	22313 e	23472 b	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,EA19	: 	: 	14282 e	14615 e	15321 e	16892 e	17434 e	17624 e	17315 e	19268 e	18726 e	19079 e	19622 e	19969 e	20758 e	21288 e	22067 e	23257 b	23983 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18977 	19307 	19685 	20494 	21034 	21806 	22992 	23742 	24210 
A,EUR,MEI_E,DEG3,M,Y18-64,EE	: 	3267 	3617 	4404 	5254 	6389 	6885 	6403 	6356 	6972 b	7655 	8666 b	9516 	10232 	10598 	11246 	11965 	12989 	14616 	17469 
A,EUR,MEI_E,DEG3,M,Y18-64,EL	8409 	9979 	10924 	10598 	11009 	11688 	12751 	12748 	12158 	9490 b	8479 	7805 	7725 	7559 	7967 	8006 	8325 	8962 	8833 	10028 
A,EUR,MEI_E,DEG3,M,Y18-64,ES	: 	10518 	11005 	11901 	12172 	15081 b	16055 	15465 	14551 	14178 b	13196 	13018 	12994 	13405 	14401 	14642 	14839 	16261 	17054 	18265 
A,EUR,MEI_E,DEG3,M,Y18-64,EU	: 	: 	: 	: 	: 	13191 e	13449 e	13485 e	13507 e	16155 e	15503 e	15715 e	16421 e	16759 e	17270 e	17734 e	18362 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,EU27_2007	: 	: 	10541 e	10892 e	11649 e	13191 e	13449 e	13604 e	13633 e	16318 e	15649 e	15868 e	16576 e	16902 e	17403 e	17861 e	18490 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12739 e	12839 e	15582 e	14958 e	15028 e	15550 e	15881 e	16556 e	17137 e	17784 e	18768 b	19289 	19918 
A,EUR,MEI_E,DEG3,M,Y18-64,EU28	: 	: 	: 	: 	: 	: 	: 	13485 e	13507 e	16155 e	15503 e	15715 e	16421 e	16759 e	17270 e	17734 e	18362 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,FI	: 	19067 	19742 	20378 	21328 	22480 	22980 	23506 	24148 	25142 b	25873 	26064 	26336 	26166 	26959 	28259 	29006 	29078 	29476 	30272 
A,EUR,MEI_E,DEG3,M,Y18-64,FR	: 	16935 	17677 	17465 	17619 	21734 b	21675 	22801 	21781 	23980 b	23634 	23982 	23889 	24011 	24791 	25080 	25621 	25771 b	26542 	26872 b
A,EUR,MEI_E,DEG3,M,Y18-64,HR	: 	: 	: 	: 	: 	: 	: 	6152 	5940 	5702 b	5420 	5550 	5768 	5903 	6463 	7018 	7762 	8418 	8567 	9645 
A,EUR,MEI_E,DEG3,M,Y18-64,HU	: 	: 	3480 	4042 	3930 	4443 	4820 	4243 	4561 	4600 b	4309 	4636 	4800 	4962 	5273 	5642 	6220 	6684 	7109 	7451 
A,EUR,MEI_E,DEG3,M,Y18-64,IE	18667 	19693 	20416 	23663 	24942 	25775 	24831 	22182 	22070 	22056 b	22007 	22482 	24202 	24473 	27031 	28361 	29558 	29216 b	30303 	30038 
A,EUR,MEI_E,DEG3,M,Y18-64,IS	: 	25277 	27203 	31832 	31764 	35393 	24606 	20893 	21350 	22451 b	24593 	25983 	28689 	32611 	38127 	42679 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,IT	: 	15266 	15878 	16304 	16831 	17530 	17473 	17754 	17433 	16819 	16000 	15645 	17382 b	17539 	18416 	18713 	19394 	19551 	19498 	20593 
A,EUR,MEI_E,DEG3,M,Y18-64,LT	: 	: 	2256 	2663 	3590 	4482 	5438 	4290 	4068 	4428 b	5301 	5498 	6140 	6529 	6830 	7837 	8851 	10037 	11917 	12383 
A,EUR,MEI_E,DEG3,M,Y18-64,LU	31150 	32418 	33479 	33869 	35368 	36251 	38347 	36348 	36421 	38717 b	41737 	41009 	43184 	40123 b	43463 	42653 	42898 	43867 b	49893 b	50119 b
A,EUR,MEI_E,DEG3,M,Y18-64,LV	: 	: 	2247 	2736 	3777 	5296 	6062 	5093 	4635 	5038 b	5326 	5754 	6668 	7039 	7574 	8681 	9665 	10209 	10576 	11099 
A,EUR,MEI_E,DEG3,M,Y18-64,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2405 	2662 	2761 	2816 	3361 	: 	: 
A,EUR,MEI_E,DEG3,M,Y18-64,MT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	20754 	25664 
A,EUR,MEI_E,DEG3,M,Y18-64,NL	: 	: 	18479 	19345 	21632 	21803 	22087 	24490 	24077 	24184 b	23298 	22972 	25165 	26547 b	27776 	29861 	29579 	32996 	33375 	35355 
A,EUR,MEI_E,DEG3,M,Y18-64,NO	: 	29400 	27955 	30291 	30868 	34443 	36179 	34812 	38521 	41635 b	46315 	: 	46161 	43768 	42762 	43269 	43778 	45534 	39866 b	44050 
A,EUR,MEI_E,DEG3,M,Y18-64,PL	: 	: 	2579 	3129 	3619 	4299 	5196 	4405 	5094 	5037 b	5110 	5219 	5418 	5747 	5808 	6385 	7020 	7925 	8098 	8908 
A,EUR,MEI_E,DEG3,M,Y18-64,PT	: 	7720 	8219 	8612 	9444 	9841 	10066 	10254 	9545 	8419 b	8379 	8398 	8533 	8997 	9248 	9492 	10359 	11243 	11546 	11449 
A,EUR,MEI_E,DEG3,M,Y18-64,RO	: 	: 	: 	: 	1615 	1935 	2107 	1995 	2014 	1717 b	1908 	1941 	2089 	2118 	2420 	3044 	3509 	3905 	4175 	4746 
A,EUR,MEI_E,DEG3,M,Y18-64,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2247 	2142 	2130 	2409 	2426 	2477 	3232 	3703 	3909 	4435 
A,EUR,MEI_E,DEG3,M,Y18-64,SE	: 	18813 	19411 	19589 	20669 	22175 b	22158 	20347 	23484 	25859 b	27967 	27849 	27948 	27861 	26951 	26973 	26145 	26368 	27361 	28914 
A,EUR,MEI_E,DEG3,M,Y18-64,SI	: 	: 	9454 	10092 	10640 	11598 	12716 	12341 	12732 	12842 b	12512 	12751 	13150 	13127 	13569 	14176 	15656 	16358 	16808 	18123 
A,EUR,MEI_E,DEG3,M,Y18-64,SK	: 	: 	3004 	3664 	4289 	5099 	5999 	6498 	6684 	7297 b	7214 	7324 	7280 	7274 	7279 	7804 	8629 	9216 	8906 	9026 
A,EUR,MEI_E,DEG3,M,Y18-64,UK	: 	: 	29653 	27188 	31342 	24706 	21309 	23542 	23239 	25738 b	24620 	27459 	29694 	30240 	29193 b	28140 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1741 	1958 	2247 	2571 	2647 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,AT	17328 	18837 	19779 	19561 	20237 	22281 b	22939 	23864 	24225 	25602 b	25225 	27143 	27325 	27336 	28551 	28800 	29824 	30727 	31480 	33311 
A,EUR,MEI_E,DEG3,M,Y_GE18,BE	15663 	17525 	18353 	20904 	20400 	20479 	22539 	21705 	22404 	22638 b	23231 	23155 	24411 	24524 	24052 	25089 	28018 b	28060 	28545 	29758 
A,EUR,MEI_E,DEG3,M,Y_GE18,BG	: 	: 	: 	1406 	1576 	2400 	2873 	2934 	2841 	2695 b	2699 	3053 	3039 	2958 b	3424 	3313 	4094 	4463 	5361 	5392 
A,EUR,MEI_E,DEG3,M,Y_GE18,CH	: 	: 	: 	: 	30094 	29069 	31653 	32714 	35401 	43199 b	44634 	42926 b	44720 	49973 	49757 	48359 	45856 	49159 	51161 	49549 
A,EUR,MEI_E,DEG3,M,Y_GE18,CY	: 	: 	13721 	15475 	17263 	17116 b	17790 	17065 	17735 	17730 b	17324 	16382 	14676 	14990 	14749 	15869 	16980 	17271 	17190 	18664 
A,EUR,MEI_E,DEG3,M,Y_GE18,CZ	: 	: 	4716 	5382 	6051 	6731 	8105 	7715 	8176 	8539 b	8623 	8450 	8324 	8877 	9519 	10060 	11150 	11901 	12077 	13377 
A,EUR,MEI_E,DEG3,M,Y_GE18,DE	: 	: 	17551 	17100 	18871 	18900 	19405 	19753 	20248 	21814 b	21975 	22320 	23548 	24302 	25092 	25874 	26575 	30221 b	29158 	28471 
A,EUR,MEI_E,DEG3,M,Y_GE18,DK	21932 	22337 	22709 	23670 	24731 	25687 	23986 	27053 	27962 b	29722 b	31804 	30857 	30892 	30944 	31986 	34132 	35837 	34380 b	35291 	36621 
A,EUR,MEI_E,DEG3,M,Y_GE18,EA	: 	: 	: 	: 	: 	17472 e	17616 e	17906 e	17544 e	19291 e	18932 e	19048 e	19385 e	19662 e	20417 e	20929 e	21611 e	22560 b	23149 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,EA18	: 	: 	14153 e	14390 e	15242 e	16796 e	17337 e	17610 e	17355 e	19147 e	18788 e	19048 e	19627 e	19886 e	20646 e	21150 e	21835 e	22756 b	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,EA19	: 	: 	13853 e	14097 e	14805 e	16485 e	17039 e	17290 e	17039 e	18931 e	18582 e	18840 e	19385 e	19662 e	20417 e	20929 e	21611 e	22560 b	23149 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18740 	19085 	19393 	20171 	20692 	21368 	22314 	22916 	23447 
A,EUR,MEI_E,DEG3,M,Y_GE18,EE	: 	3143 	3477 	4210 	4993 	6090 	6640 	6232 	6172 	6717 b	7350 	8303 b	9028 	9624 	10041 	10620 	11407 	12447 	13926 	16413 
A,EUR,MEI_E,DEG3,M,Y_GE18,EL	8129 	9509 	10514 	10165 	10556 	11319 	12219 	12421 	11787 	9659 b	8566 	7817 	7786 	7719 	8009 	8083 	8338 	8963 	8864 	9972 
A,EUR,MEI_E,DEG3,M,Y_GE18,ES	: 	10006 	10487 	11315 	11629 	14453 b	15403 	15014 	14191 	14103 b	13256 	13234 	13083 	13469 	14278 	14586 	14883 	16155 	16881 	17861 
A,EUR,MEI_E,DEG3,M,Y_GE18,EU	: 	: 	: 	: 	: 	13057 e	13329 e	13418 e	13476 e	16054 e	15587 e	15774 e	16460 e	16731 e	17189 e	17706 e	18268 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,EU27_2007	: 	: 	10394 e	10696 e	11436 e	13057 e	13329 e	13536 e	13601 e	16213 e	15730 e	15924 e	16614 e	16870 e	17317 e	17830 e	18392 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	12705 e	12825 e	15515 e	15036 e	15080 e	15599 e	15844 e	16504 e	17093 e	17674 e	18453 b	18923 	19606 
A,EUR,MEI_E,DEG3,M,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	13418 e	13476 e	16054 e	15587 e	15774 e	16460 e	16731 e	17189 e	17706 e	18268 e	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,FI	: 	18333 	19035 	19530 	20346 	21523 	22202 	22775 	23391 	24386 b	24830 	25193 	25147 	24985 	25649 	26769 	27223 	27578 	27792 	28340 
A,EUR,MEI_E,DEG3,M,Y_GE18,FR	: 	16506 	17162 	16948 	17397 	21753 b	22083 	23026 	22152 	24110 b	24221 	24133 	24152 	24278 	25053 	25211 	25506 	25210 b	25622 	26104 b
A,EUR,MEI_E,DEG3,M,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	5921 	5781 	5576 b	5278 	5382 	5586 	5726 	6269 	6772 	7479 	8042 	8126 	9039 
A,EUR,MEI_E,DEG3,M,Y_GE18,HU	: 	: 	3479 	3998 	3922 	4443 	4824 	4249 	4566 	4589 b	4392 	4656 	4828 	4958 	5254 	5626 	6157 	6611 	6919 	7448 
A,EUR,MEI_E,DEG3,M,Y_GE18,IE	17848 	18673 	19458 	22714 	23712 	24690 	24295 	21579 	21616 	21368 b	21547 	22059 	23632 	24007 	26261 	27736 	28820 	28808 b	29485 	29413 
A,EUR,MEI_E,DEG3,M,Y_GE18,IS	: 	24564 	26465 	31008 	30928 	34783 	24826 	20957 	21033 	22140 b	24173 	25422 	28586 	32271 	37731 	42199 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,IT	: 	14712 	15335 	15747 	16186 	16930 	16932 	17311 	17058 	16569 	15972 	15749 	17416 b	17474 	18231 	18660 	19357 	19569 	19437 	20614 
A,EUR,MEI_E,DEG3,M,Y_GE18,LT	: 	: 	2215 	2607 	3469 	4342 	5261 	4324 	4091 	4367 b	5186 	5362 	5962 	6333 	6663 	7513 	8614 	9666 	11388 	11712 
A,EUR,MEI_E,DEG3,M,Y_GE18,LU	30725 	31746 	32647 	32958 	35036 	36161 	37674 	36385 	36672 	39571 b	43144 	41599 	43096 	41085 b	44073 	43416 	44747 	46073 b	51338 b	51525 b
A,EUR,MEI_E,DEG3,M,Y_GE18,LV	: 	: 	2203 	2654 	3665 	5070 	5798 	4973 	4612 	4983 b	5207 	5648 	6412 	6761 	7220 	8249 	9176 	9674 	9954 	10629 
A,EUR,MEI_E,DEG3,M,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2413 	2667 	2760 	2816 	3341 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE18,MT	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	19913 	24014 
A,EUR,MEI_E,DEG3,M,Y_GE18,NL	: 	: 	18306 	18368 	20624 	20803 	21689 	23765 	23234 	23511 b	23063 	22824 	24335 	25650 b	26736 	28077 	28011 	30869 	31491 	33163 
A,EUR,MEI_E,DEG3,M,Y_GE18,NO	: 	28384 	27236 	29433 	30286 	33760 	35600 	34127 	37950 	41592 b	45703 	: 	45935 	43470 	43001 	42810 	43178 	44731 	39410 b	42953 
A,EUR,MEI_E,DEG3,M,Y_GE18,PL	: 	: 	2624 	3159 	3627 	4272 	5147 	4389 	5064 	5014 b	5108 	5221 	5427 	5763 	5799 	6337 	6947 	7806 	8019 	8785 
A,EUR,MEI_E,DEG3,M,Y_GE18,PT	: 	7181 	7644 	8012 	8719 	9346 	9517 	9733 	9225 	8349 b	8278 	8322 	8446 	8897 	9219 	9418 	10274 	11092 	11330 	11409 
A,EUR,MEI_E,DEG3,M,Y_GE18,RO	: 	: 	: 	: 	1570 	1899 	2106 	2015 	2054 	1771 b	1942 	2037 	2460 	2176 	2457 	3035 	3490 	3894 	4137 	4849 
A,EUR,MEI_E,DEG3,M,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2307 	2207 	2234 	2458 	2501 	2562 	3217 	3630 	3831 	4332 
A,EUR,MEI_E,DEG3,M,Y_GE18,SE	: 	18411 	18978 	19271 	20192 	21547 b	21544 	19910 	22925 	25242 b	26907 	27510 	26744 	26739 	26040 	26760 	25476 	25686 	26599 	28126 
A,EUR,MEI_E,DEG3,M,Y_GE18,SI	: 	: 	9345 	9934 	10517 	11402 	12492 	12205 	12551 	12678 b	12345 	12650 	13036 	12911 	13286 	13849 	15191 	15873 	16419 	17661 
A,EUR,MEI_E,DEG3,M,Y_GE18,SK	: 	: 	2958 	3584 	4197 	4975 	5877 	6387 	6773 	7180 b	7136 	7229 	7216 	7213 	7217 	7741 	8477 	9006 	8795 	8975 
A,EUR,MEI_E,DEG3,M,Y_GE18,UK	: 	: 	28300 	25845 	29223 	23410 	20361 	22628 	22423 	24545 b	23864 	26358 	28368 	28830 	27684 b	27402 	: 	: 	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE60,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1848 	2073 	2348 	2602 	2658 	: 
A,EUR,MEI_E,DEG3,M,Y_GE60,AT	15844 	18190 	19094 	18000 	19112 	19649 b	20732 	21280 	22170 	23348 b	23351 	25568 	25122 	25630 	26965 	26862 	28020 	27783 	28663 	31915 
A,EUR,MEI_E,DEG3,M,Y_GE60,BE	13806 	12833 	16005 	17047 	17739 	17402 	18066 	17642 	16509 	17780 b	20508 	20135 	21618 	21425 	21153 	22841 	28065 b	25176 	24462 	27373 
A,EUR,MEI_E,DEG3,M,Y_GE60,BG	: 	: 	: 	1318 	1449 	1915 	2288 	2638 	2541 	2534 b	2493 	2987 	2867 	3011 b	3446 	3236 	3721 	4149 	4851 	5089 
A,EUR,MEI_E,DEG3,M,Y_GE60,CH	: 	: 	: 	: 	28155 	29459 	30037 	29229 	30398 	37690 b	37988 	38847 b	41024 	46393 	49011 	47446 	40536 	43893 	45516 	42923 
A,EUR,MEI_E,DEG3,M,Y_GE60,CY	: 	: 	10452 	12251 	15614 	15457 b	16074 	14976 	15923 	16020 b	17392 	16081 	15164 	15700 	14807 	15594 	16459 	16622 	16223 	17530 
A,EUR,MEI_E,DEG3,M,Y_GE60,CZ	: 	: 	4149 	4782 	5271 	5783 	6898 	6882 	7601 	7930 b	7869 	7695 	7321 	7766 	8171 	8563 	9346 	10085 	11154 	11896 
A,EUR,MEI_E,DEG3,M,Y_GE60,DE	: 	: 	15902 	14813 	16648 	17876 	16908 	17629 	17832 	19384 b	19383 	19742 	20981 	21437 	22917 	22915 	23808 	26552 b	25925 	25743 
A,EUR,MEI_E,DEG3,M,Y_GE60,DK	20109 	19174 	20310 	20966 	22004 	23608 	23323 	26532 	25954 b	26999 b	26754 	29051 	29145 	28570 	29097 	34027 	35655 	31499 b	31403 	34143 
A,EUR,MEI_E,DEG3,M,Y_GE60,EA	: 	: 	: 	: 	: 	16481 e	16613 e	17114 e	17040 e	18817 e	18854 e	18874 e	19256 e	19318 e	20164 e	20557 e	21419 e	21566 b	21958 	: 
A,EUR,MEI_E,DEG3,M,Y_GE60,EA18	: 	: 	12917 e	12897 e	13831 e	15982 	16396 	16889 e	16900 e	18703 e	18737 e	18874 e	19442 e	19496 e	20351 e	20749 e	21605 e	21726 b	: 	: 
A,EUR,MEI_E,DEG3,M,Y_GE60,EA19	: 	: 	12697 e	12688 e	13529 e	15734 	16155 	16644 e	16642 e	18524 e	18563 e	18708 e	19256 e	19318 e	20164 e	20557 e	21419 e	21566 b	21958 	: 
A,EUR,MEI_E,DEG3,M,Y_GE60,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18610 	18982 	19077 	19950 	20346 	21195 	21344 	21714 	22272 
A,EUR,MEI_E,DEG3,M,Y_GE60,EE	: 	2527 	2839 	3326 	3901 	4705 	5591 	5498 	5347 	5621 b	5897 	6570 b	7355 	7916 	8418 	8913 	9783 	10957 	11792 	13600 
A,EUR,MEI_E,DEG3,M,Y_GE60,EL	7399 	8272 	9569 	9104 	9715 	10541 	11228 	11679 	10875 	9973 b	8854 	7841 	8146 	8167 	8198 	8308 	8412 	8967 	9012 	9947 
