freq,unit,landuse,geo,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,KM2,L0008,AT221,1217.3,1217.3,1217.3,1217.2,1217.2,1217.2,1217.4,1217.5,1217.4,1217.4,1217.1,1217.1,1217.0,1217.0,1217.0,1217.0,1217.0,1217.0,1218.5,1218.5,1218.5,1218.5,1218.0,1218.0,1218.0,1218.0
A,KM2,L0008,AT222,3241.5,3241.5,3241.4,3241.4,3241.6,3241.3,3240.7,3240.6,3239.5,3239.5,3235.2,3235.2,3235.5,3235.5,3235.5,3235.9,3235.9,3235.9,3233.3,3233.3,3233.3,3233.3,3233.0,3233.0,3233.0,3233.0
A,KM2,L0008,AT223,3235.8,3235.8,3235.5,3235.6,3235.4,3235.3,3235.1,3235.2,3235.3,3235.3,3234.2,3234.2,3234.7,3234.7,3234.7,3234.4,3234.4,3234.4,3232.3,3232.3,3232.3,3232.3,3232.0,3232.0,3232.0,3232.0
A,KM2,L0008,AT224,3323.9,3323.9,3323.4,3322.7,3322.4,3322.2,3322.8,3322.6,3322.4,3322.4,3322.1,3322.1,3323.1,3323.1,3323.1,3322.3,3322.3,3322.3,3329.9,3329.9,3329.6,3329.6,3329.0,3329.0,3329.0,3329.0
A,KM2,L0008,AT225,2199.3,2199.3,2198.7,2198.6,2198.3,2197.6,2197.5,2197.4,2196.7,2196.7,2197.2,2197.2,2197.2,2197.2,2197.2,2197.1,2197.1,2197.1,2199.2,2199.2,2199.1,2199.1,2198.0,2198.0,2198.0,2198.0
A,KM2,L0008,AT226,3040.5,3040.5,3040.4,3040.2,3040.2,3040.1,3040.1,3040.1,3039.6,3039.6,3039.0,3039.0,3039.7,3039.7,3039.7,3039.6,3039.6,3039.6,3039.3,3039.3,3039.5,3039.5,3040.0,3040.0,3040.0,3040.0
A,KM2,L0008,AT3,33836.8,33836.8,33836.4,33833.2,33832.2,33839.5,33839.2,33837.9,33835.9,33835.9,33838.8,33838.8,33841.4,33841.4,33841.4,33837.8,33837.8,33837.8,33822.1,33822.1,33816.4,33816.4,33816.0,33816.0,33816.0,33816.0
A,KM2,L0008,AT31,11727.6,11727.6,11727.2,11726.1,11726.0,11726.1,11724.9,11723.9,11722.7,11722.7,11721.9,11721.9,11724.1,11724.1,11724.1,11721.9,11721.9,11721.9,11719.2,11719.2,11717.5,11717.5,11717.0,11717.0,11717.0,11717.0
A,KM2,L0008,AT311,2786.4,2786.4,2786.2,2786.0,2785.9,2786.0,2785.8,2785.8,2785.9,2785.9,2785.7,2785.7,2785.9,2785.9,2785.9,2783.6,2783.6,2783.6,2781.7,2781.7,2780.9,2780.9,2781.0,2781.0,2781.0,2781.0
A,KM2,L0008,AT312,1706.0,1706.0,1705.9,1705.0,1704.9,1704.9,1704.4,1703.4,1703.5,1703.5,1702.3,1702.3,1702.6,1702.6,1702.6,1702.6,1702.6,1702.6,1702.3,1702.3,1701.7,1701.7,1701.0,1701.0,1701.0,1701.0
A,KM2,L0008,AT313,2630.0,2630.0,2629.9,2629.9,2629.8,2629.9,2629.9,2630.7,2630.8,2630.8,2630.0,2630.0,2631.0,2631.0,2631.0,2630.9,2630.9,2630.9,2630.3,2630.3,2630.1,2630.1,2630.0,2630.0,2630.0,2630.0
A,KM2,L0008,AT314,2215.5,2215.5,2215.5,2215.5,2215.5,2215.6,2215.0,2214.9,2214.9,2214.9,2214.9,2214.9,2215.2,2215.2,2215.2,2215.2,2215.2,2215.2,2214.9,2214.9,2214.7,2214.7,2215.0,2215.0,2215.0,2215.0
A,KM2,L0008,AT315,2389.8,2389.8,2389.8,2389.8,2389.7,2389.7,2389.8,2389.2,2387.7,2387.7,2389.0,2389.0,2389.4,2389.4,2389.4,2389.5,2389.5,2389.5,2389.9,2389.9,2389.9,2389.9,2390.0,2390.0,2390.0,2390.0
A,KM2,L0008,AT32,7053.6,7053.6,7053.8,7051.7,7051.7,7052.2,7052.7,7053.2,7051.9,7051.9,7051.5,7051.5,7052.9,7052.9,7052.9,7052.6,7052.6,7052.6,7053.7,7053.7,7051.0,7051.0,7050.0,7050.0,7050.0,7050.0
A,KM2,L0008,AT321,1014.2,1014.2,1014.2,1014.2,1013.9,1013.7,1013.5,1013.3,1012.3,1012.3,1011.7,1011.7,1011.9,1011.9,1011.9,1011.8,1011.8,1011.8,1012.1,1012.1,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
A,KM2,L0008,AT322,4360.3,4360.3,4360.3,4358.2,4358.0,4357.8,4358.2,4357.9,4356.7,4356.7,4355.2,4355.2,4355.0,4355.0,4355.0,4354.7,4354.7,4354.7,4355.3,4355.3,4355.2,4355.2,4355.0,4355.0,4355.0,4355.0
A,KM2,L0008,AT323,1679.0,1679.0,1679.3,1679.3,1679.8,1680.6,1681.0,1682.1,1682.8,1682.8,1684.6,1684.6,1686.0,1686.0,1686.0,1686.0,1686.0,1686.0,1686.3,1686.3,1685.8,1685.8,1686.0,1686.0,1686.0,1686.0
A,KM2,L0008,AT33,12521.9,12521.9,12521.6,12521.7,12520.8,12527.3,12527.0,12526.1,12526.7,12526.7,12529.8,12529.8,12528.9,12528.9,12528.9,12528.5,12528.5,12528.5,12515.4,12515.4,12514.4,12514.4,12514.0,12514.0,12514.0,12514.0
A,KM2,L0008,AT331,1211.5,1211.5,1211.4,1211.4,1211.4,1211.4,1211.4,1211.4,1211.9,1211.9,1214.1,1214.1,1214.2,1214.2,1214.2,1214.4,1214.4,1214.4,1213.1,1213.1,1212.9,1212.9,1213.0,1213.0,1213.0,1213.0
A,KM2,L0008,AT332,2074.9,2074.9,2074.6,2074.7,2074.6,2080.5,2080.5,2080.6,2080.7,2080.7,2080.7,2080.7,2080.5,2080.5,2080.5,2080.3,2080.3,2080.3,2079.4,2079.4,2079.4,2079.4,2079.0,2079.0,2079.0,2079.0
A,KM2,L0008,AT333,2006.8,2006.8,2006.8,2006.8,2006.7,2006.7,2006.5,2006.4,2006.4,2006.4,2005.8,2005.8,2005.8,2005.8,2005.8,2005.6,2005.6,2005.6,2005.0,2005.0,2005.1,2005.1,2005.0,2005.0,2005.0,2005.0
