freq,unit,geo\TIME_PERIOD,2015,2016,2017,2018,2019,2020,2021,2022
A,PC,DEA2,:,:,:,:,:,:,5.9,7.6
A,PC,DEA3,:,:,:,:,:,:,3.9,6.0
A,PC,DEA4,:,:,:,:,:,:,4.6,5.9
A,PC,DEA5,:,:,:,:,:,:,5.5,10.6
A,PC,DEB,:,:,:,:,:,:,3.9,5.4
A,PC,DEB1,:,:,:,:,:,:,5.1,7.6
A,PC,DEB2,:,:,:,:,:,:,2.0,3.3
A,PC,DEB3,:,:,:,:,:,:,3.4,4.3
A,PC,DEC,:,:,:,:,:,:,3.0,5.6
A,PC,DEC0,:,:,:,:,:,:,3.0,5.6
A,PC,DED,:,:,:,:,:,:,2.8,2.5
A,PC,DED2,:,:,:,:,:,:,2.0,1.9
A,PC,DED4,:,:,:,:,:,:,2.0,3.3
A,PC,DED5,:,:,:,:,:,:,5.1,2.3
A,PC,DEE,:,:,:,:,:,:,3.1,5.2
A,PC,DEE0,:,:,:,:,:,:,3.1,5.2
A,PC,DEF,:,:,:,:,:,:,4.0,5.8
A,PC,DEF0,:,:,:,:,:,:,4.0,5.8
A,PC,DEG,:,:,:,:,:,:,5.8,6.7
A,PC,DEG0,:,:,:,:,:,:,5.8,6.7
A,PC,DK,3.2,2.6,3.6,3.5,3.8,3.5,3.1,3.2
A,PC,DK01,2.6,2.2,3.0,3.6,3.3,3.0,3.3,2.7
A,PC,DK02,3.6,3.9,5.4,5.6,5.0,3.3,3.0,3.5
A,PC,DK03,3.6,2.9,4.1,3.0,4.3,4.8,2.9,4.1
A,PC,DK04,3.4,1.9,2.7,2.0,2.8,3.0,3.2,2.8
A,PC,DK05,3.0,2.9,4.5,4.2,5.1,4.2,2.9,3.5
A,PC,EE,3.5,2.2,4.0,3.1,2.6,2.3,1.9,3.3
A,PC,EL,17.6,18.4,18.3,16.1,15.8,14.9,13.9,13.9
A,PC,EL3,17.2,17.5,17.5,15.6,14.0,13.5,12.2,12.5
A,PC,EL30,:,:,:,15.6,14.0,13.5,12.2,12.5
A,PC,EL4,14.7,19.8,19.3,17.0,17.0,13.5,12.9,11.5
A,PC,EL41,:,:,:,15.3,16.1,12.7,10.0,12.0
A,PC,EL42,:,:,:,17.1,16.8,10.7,7.0,12.2
A,PC,EL43,:,:,:,17.4,17.5,15.3,17.0,10.9
A,PC,EL5,16.8,16.9,16.1,15.3,15.4,14.4,14.0,13.3
A,PC,EL51,:,:,:,20.3,18.3,13.8,14.0,12.5
A,PC,EL52,:,:,:,13.4,15.2,15.1,15.5,15.5
A,PC,EL53,:,:,:,18.3,15.2,13.3,7.5,10.2
A,PC,EL54,:,:,:,14.9,11.5,12.4,11.7,4.8
A,PC,EL6,20.3,20.9,21.6,17.4,18.0,18.1,16.5,17.7
A,PC,EL61,:,:,:,16.9,15.4,14.9,10.4,10.1
A,PC,EL62,:,:,:,9.1,8.7,7.1,8.5,17.0
A,PC,EL63,:,:,:,25.2,25.4,27.4,26.8,24.1
A,PC,EL64,:,:,:,13.1,11.8,13.0,11.7,15.4
A,PC,EL65,:,:,:,15.9,21.2,19.2,19.2,22.4
A,PC,ES,7.4,8.5,8.3,8.7,7.7,8.5,8.3,7.7
A,PC,ES1,4.5,5.4,3.9,6.5,5.0,3.5,6.0,5.7
A,PC,ES11,3.9,4.9,3.2,6.1,5.4,3.2,6.2,6.3
A,PC,ES12,6.4,6.4,5.9,8.4,5.4,3.1,5.8,4.4
A,PC,ES13,3.7,6.0,3.3,5.0,2.1,5.4,5.3,5.0
A,PC,ES2,4.6,4.1,4.1,4.0,4.2,3.5,5.0,4.3
A,PC,ES21,6.6,4.8,5.1,4.3,4.0,3.3,4.6,3.7
A,PC,ES22,1.7,4.9,4.7,8.0,6.0,5.9,3.4,5.6
A,PC,ES23,4.4,5.4,2.6,3.5,2.3,4.1,5.2,3.9
A,PC,ES24,2.6,2.1,2.6,1.5,4.3,2.5,6.5,4.7
A,PC,ES3,7.3,7.6,9.1,8.3,7.7,8.7,7.4,6.5
A,PC,ES30,7.3,7.6,9.1,8.3,7.7,8.7,7.4,6.5
A,PC,ES4,4.9,5.9,6.6,6.2,6.2,5.7,6.9,7.5
A,PC,ES41,3.7,2.8,4.2,2.8,2.5,4.1,6.1,5.0
A,PC,ES42,6.9,10.7,7.4,8.7,10.2,6.8,7.5,9.3
A,PC,ES43,3.8,3.8,10.3,8.8,6.7,7.4,7.6,9.7
A,PC,ES5,7.3,8.3,8.0,6.1,6.8,9.3,8.2,7.4
A,PC,ES51,6.5,7.8,6.1,6.7,6.5,8.0,9.0,8.0
A,PC,ES52,7.9,8.7,10.9,5.9,7.9,11.9,7.6,7.1
A,PC,ES53,10.3,9.7,7.5,2.9,3.7,6.7,6.1,5.5
A,PC,ES6,9.6,12.3,12.2,15.4,12.5,11.1,10.5,10.5
A,PC,ES61,9.6,12.5,11.6,16.4,12.9,11.5,10.3,11.3
A,PC,ES62,9.3,11.0,13.9,9.8,9.3,9.2,10.2,5.3
A,PC,ES63,18.8,27.2,34.7,19.9,22.8,5.4,23.3,16.8
A,PC,ES64,12.7,8.5,17.4,10.4,25.3,17.8,14.5,15.7
A,PC,ES7,15.7,16.8,12.2,15.6,6.6,18.0,15.7,11.9
A,PC,ES70,15.7,16.8,12.2,15.6,6.6,18.0,15.7,11.9
A,PC,FI,1.0,1.2,1.8,2.2,1.9,1.8,1.1,1.9
A,PC,FI1,1.0,1.2,1.8,2.2,1.9,1.8,1.1,1.9
A,PC,FI19_20,0.9,1.1,2.1,2.4,2.1,1.6,0.9,1.8
A,PC,FI1B,1.1,1.2,1.8,2.2,1.5,1.7,1.1,2.8
A,PC,FI1C,0.8,1.3,2.2,2.4,1.5,2.6,1.4,2.0
A,PC,FI1D,1.2,1.3,1.2,1.7,2.4,1.5,1.0,0.9
A,PC,FR,6.8,6.7,6.3,6.7,7.3,7.0b,5.9,7.7b
A,PC,FR1,:,:,:,:,:,:,:,8.2
A,PC,FR10,:,:,:,:,:,:,:,8.2
A,PC,FRB,:,:,:,:,:,:,:,8.6
A,PC,FRB0,:,:,:,:,:,:,:,8.6
A,PC,FRC,:,:,:,:,:,:,:,8.4
A,PC,FRC1,:,:,:,:,:,:,:,8.4
A,PC,FRC2,:,:,:,:,:,:,:,8.3
A,PC,FRD,:,:,:,:,:,:,:,8.9
A,PC,FRD1,:,:,:,:,:,:,:,8.3
A,PC,FRD2,:,:,:,:,:,:,:,9.3
A,PC,FRE,:,:,:,:,:,:,:,10.0
A,PC,FRE1,:,:,:,:,:,:,:,10.2
A,PC,FRE2,:,:,:,:,:,:,:,9.4
A,PC,FRF,:,:,:,:,:,:,:,8.8
A,PC,FRF1,:,:,:,:,:,:,:,8.2
A,PC,FRF2,:,:,:,:,:,:,:,9.8
A,PC,FRF3,:,:,:,:,:,:,:,8.9
A,PC,FRG,:,:,:,:,:,:,:,7.4
A,PC,FRG0,:,:,:,:,:,:,:,7.4
A,PC,FRH,:,:,:,:,:,:,:,7.3
A,PC,FRH0,:,:,:,:,:,:,:,7.3
A,PC,FRI,:,:,:,:,:,:,:,8.0
A,PC,FRI1,:,:,:,:,:,:,:,7.8
A,PC,FRI2,:,:,:,:,:,:,:,8.5
A,PC,FRI3,:,:,:,:,:,:,:,8.0
A,PC,FRJ,:,:,:,:,:,:,:,8.8
A,PC,FRJ1,:,:,:,:,:,:,:,9.7
A,PC,FRJ2,:,:,:,:,:,:,:,8.0
A,PC,FRK,:,:,:,:,:,:,:,7.7
A,PC,FRK1,:,:,:,:,:,:,:,8.2
A,PC,FRK2,:,:,:,:,:,:,:,7.6
A,PC,FRL,:,:,:,:,:,:,:,8.7
A,PC,FRL0,:,:,:,:,:,:,:,8.7
A,PC,FRM,:,:,:,:,:,:,:,9.3
A,PC,FRM0,:,:,:,:,:,:,:,9.3
A,PC,FRY,:,:,:,:,:,:,:,13.4
A,PC,FRY1,:,:,:,:,:,:,:,13.1
A,PC,FRY2,:,:,:,:,:,:,:,13.1
A,PC,FRY3,:,:,:,:,:,:,:,18.9
A,PC,FRY4,:,:,:,:,:,:,:,15.3
A,PC,HR,8.4,7.3,7.1,6.1,4.6,4.4,3.5,4.0
A,PC,HR02,:,:,:,:,:,:,5.1,6.1
A,PC,HR03,3.9,3.2,3.9,4.0,4.1,4.0,3.5,3.9
A,PC,HR04,10.6,9.3,8.7,7.1,4.8,4.6,:,:
A,PC,HR05,:,:,:,:,:,:,2.2,2.2
A,PC,HR06,:,:,:,:,:,:,2.9,3.2
A,PC,HU,24.1,20.6,16.1,11.9,10.9,10.7,10.2,9.1
A,PC,HU1,24.2,19.4,12.9,10.1,9.5,8.0,8.4,7.6
A,PC,HU10,24.2,19.4,12.9,:,:,:,:,:
A,PC,HU11,:,:,:,10.5,10.0,7.4,6.9,6.5
A,PC,HU12,:,:,:,9.6,9.0,8.7,10.5,9.0
A,PC,HU2,21.8,19.6,13.9,9.2,9.2,8.5,7.8,7.0
A,PC,HU21,21.1,21.5,14.5,9.0,7.7,8.3,5.4,5.5
A,PC,HU22,14.4,11.0,9.5,4.2,5.4,5.2,5.3,4.7
A,PC,HU23,30.2,26.7,18.1,15.0,15.0,12.4,13.6,11.4
A,PC,HU3,25.6,22.3,20.1,15.4,13.3,14.6,13.6,11.9
A,PC,HU31,31.5,29.1,29.1,24.8,19.5,20.3,20.2,16.9
A,PC,HU32,25.2,21.5,18.3,13.5,13.8,15.4,12.5,11.8
A,PC,HU33,20.8,17.0,14.1,9.0,7.2,8.3,8.8,7.6
A,PC,IE,9.4,8.0,6.9,6.1,7.1,5.7b,5.1,5.8
A,PC,IE04,:,6.8,4.8,4.6,6.0,4.8b,3.7,5.5
A,PC,IE05,:,8.0,6.5,7.0,6.6,5.5b,5.9,6.8
A,PC,IE06,:,8.4,7.9,6.1,7.8,6.1b,5.0,5.2
A,PC,IS,1.4,1.0,0.6,0.7,:,:,:,:
A,PC,IT,12.1,10.1,6.6,6.5,6.4,6.2,5.9,4.5
A,PC,ITC,8.7,6.5,4.1,3.6,4.2,5.1,5.2,2.2
A,PC,ITC1,:,:,:,:,:,:,4.6,3.2
A,PC,ITC2,:,:,:,:,:,:,2.1,1.0
A,PC,ITC3,:,:,:,:,:,:,5.3,3.8
A,PC,ITC4,:,:,:,:,:,:,5.5,1.5
A,PC,ITF,21.9,19.1,12.8,12.6,11.5,11.3,11.3,10.7
A,PC,ITF1,:,:,:,:,:,:,14.3,10.4
A,PC,ITF2,:,:,:,:,:,:,4.9,5.6
A,PC,ITF3,:,:,:,:,:,:,15.2,14.0
A,PC,ITF4,:,:,:,:,:,:,9.2,7.0
A,PC,ITF5,:,:,:,:,:,:,3.8,4.9
A,PC,ITF6,:,:,:,:,:,:,5.5,11.8
A,PC,ITG,15.9,14.3,10.1,10.6,11.3,8.2,7.3,6.2
A,PC,ITG1,:,:,:,:,:,:,7.9,6.1
