freq,sex,isced97,unit,geo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
A,F,ED0,NR,CZ,153598,156584,145275,140131,138466,139552,137849,137859,135484,137413,140679,145410,151714,159164,165731
A,F,ED0,NR,CZ0,153598,156584,145275,140131,138466,139552,137849,137859,135484,137413,140679,145410,151714,159164,165731
A,F,ED0,NR,CZ01,:,:,:,13569,13420,13547,13382,13383,13041,13340,13657,14117,14728,15451,18003
A,F,ED0,NR,CZ02,:,:,:,14831,14754,14974,14792,14793,14527,14745,15095,15602,16279,17078,20281
A,F,ED0,NR,CZ03,:,:,:,16314,16143,16333,16134,16136,16088,16082,16464,17018,17757,18628,19580
A,F,ED0,NR,CZ04,:,:,:,15656,15332,15431,15242,15242,14957,15194,15555,16078,16775,17599,17272
A,F,ED0,NR,CZ05,:,:,:,21260,21185,21438,21176,21177,20789,21109,21611,22338,23306,24451,25089
A,F,ED0,NR,CZ06,:,:,:,23396,23092,23090,22808,22809,22393,22736,23277,24059,25102,26335,26455
A,F,ED0,NR,CZ07,:,:,:,17568,17322,17433,17220,17221,16901,17166,17574,18165,18952,19883,20007
A,F,ED0,NR,CZ08,:,:,:,17537,17218,17306,17095,17098,16788,17041,17446,18033,18815,19739,19044
A,F,ED0,NR,DE,1107634,1124801,1094754,1159426,1134570,1106266,1082052,1079772,1181856,1170203,1165235,1154909,1142014,1144081,1141580
A,F,ED0,NR,DE1,182985,191084,178187,184187,24200,177421,170736,170707,174573,168728,165140,163473,160754,161278,159218
A,F,ED0,NR,DE2,179100,174600,171000,188500,1134570,178900,176000,176000,184391,181321,178182,174795,171767,170941,172119
A,F,ED0,NR,DE3,43383,43503,40155,43359,:,35516,39560,39370,38430,37040,37812,38606,39908,41633,43205
A,F,ED0,NR,DE30,43383,43503,40155,43359,:,35516,39560,39370,38430,37040,37812,38606,39908,41633,43205
A,F,ED0,NR,DE4,21300,22800,24500,28800,:,28300,26100,26100,31264,31595,32014,31993,31965,32658,33484
A,F,ED0,NR,DE5,8221,7887,6524,6214,:,5774,7411,7339,8119,7900,7815,7913,7799,8020,8169
A,F,ED0,NR,DE50,8221,7887,6524,6214,:,5774,7411,7339,8119,7900,7815,7913,7799,8020,8169
A,F,ED0,NR,DE6,19335,20078,19146,22395,:,20018,20526,20378,21653,23417,24029,24377,24796,25811,26038
A,F,ED0,NR,DE60,19335,20078,19146,22395,:,20018,20526,20378,21653,23417,24029,24377,24796,25811,26038
A,F,ED0,NR,DE7,95475,92761,85808,88275,:,89926,86904,86810,92742,92945,91772,92005,91121,91250,91045
A,F,ED0,NR,DE8,14620,15248,15646,16096,6381,15706,15148,15111,21503,21700,21981,22111,22180,22303,22683
A,F,ED0,NR,DE80,14620,15248,15646,16096,6381,15706,15148,15111,21503,21700,21981,22111,22180,22303,22683
A,F,ED0,NR,DE9,105794,106049,104194,108666,21425,103011,96964,96770,114912,116323,115739,114497,112848,110429,107436
A,F,ED0,NR,DEA,249768,251864,249983,259912,14993,250614,242275,241319,256829,254064,257222,254169,249089,248049,244933
A,F,ED0,NR,DEB,59555,61891,60169,69535,258696,61304,63098,63106,64641,63309,62177,59713,58711,59323,59189
A,F,ED0,NR,DEC,12781,13186,15482,14579,:,13065,13484,13485,14548,13737,13328,12967,12706,12628,12314
A,F,ED0,NR,DEC0,12781,13186,15482,14579,:,13065,13484,13485,14548,13737,13328,12967,12706,12628,12314
A,F,ED0,NR,DED,35407,40751,41246,42534,:,41068,41878,41400,55739,56441,57304,58164,59244,59579,60631
A,F,ED0,NR,DEE,:,:,:,:,:,24835,22562,22556,30132,30037,29924,29823,29810,30339,30572
A,F,ED0,NR,DEF,38799,37631,40493,37956,14298,38108,35906,35821,40544,40150,39594,39294,38489,38791,38766
A,F,ED0,NR,DEF0,38799,37631,40493,37956,14298,38108,35906,35821,40544,40150,39594,39294,38489,38791,38766
A,F,ED0,NR,DEG,18693,20482,19960,22941,41411,22700,23500,23500,31836,31496,31202,31009,30827,31049,31778
A,F,ED0,NR,DEG0,18693,20482,19960,22941,41411,22700,23500,23500,31836,31496,31202,31009,30827,31049,31778
A,F,ED0,NR,DK,118589,122095,124352,122382,121534,121671,121671,124132,:u,123077,122046,122518,124767,93277,95309
A,F,ED0,NR,DK0,118589,122095,124352,122382,121534,121671,121671,124132,:u,123077,122046,122518,124767,93277,95309
A,F,ED0,NR,DK01,:,:,:,:,:,:,:,:,:u,:,36006,27874,37160,28664,29676
A,F,ED0,NR,DK02,:,:,:,:,:,:,:,:,:u,:,18486,27252,18290,13762,13618
A,F,ED0,NR,DK03,:,:,:,:,:,:,:,:,:u,:,26519,26043,25965,19329,19782
A,F,ED0,NR,DK04,:,:,:,:,:,:,:,:,:u,:,29151,21687,29159,22420,22734
A,F,ED0,NR,DK05,:,:,:,:,:,:,:,:,:u,:,11884,19663,11852,9102,9499
A,F,ED0,NR,EE,26688,26341,25418,25377,24717,25400,26132,27154,22820,23058,23872,24724,23194,23956,25046
A,F,ED0,NR,EE0,26688,26341,25418,25377,24717,25400,26132,27154,22820,23058,23872,24724,23194,23956,25046
A,F,ED0,NR,EE00,26688,26341,25418,25377,24717,25400,26132,27154,22820,23058,23872,24724,23194,23956,25046
A,F,ED0,NR,EL,69375,69626,72301,72187,70790,69839,68917,69608,70218,69847,73063,77335,77879,81062,80955
A,F,ED0,NR,EL1,:,25167,:,:,:,:,25252,25899,:,25159,25843,26977,:,28158,27909
A,F,ED0,NR,EL11,:,3461,:,:,:,:,3887,3929,:,3880,4143,4264,:,4573,4503
A,F,ED0,NR,EL12,:,13758,:,:,:,:,13687,14326,:,13956,14006,14817,:,15370,15210
A,F,ED0,NR,EL13,:,2516,:,:,:,:,2495,2618,:,2182,2283,2390,:,2418,2363
A,F,ED0,NR,EL14,:,5432,:,:,:,:,5183,5026,:,5141,5411,5506,:,5797,5833
A,F,ED0,NR,EL2,:,15806,:,:,:,:,16266,16071,:,15494,16585,17679,:,18563,18485
A,F,ED0,NR,EL21,:,2109,:,:,:,:,2137,2138,:,2022,2187,2229,:,2451,2453
A,F,ED0,NR,EL22,:,1476,:,:,:,:,1489,1496,:,1419,1546,1811,:,1863,1830
A,F,ED0,NR,EL23,:,4786,:,:,:,:,4866,4640,:,4523,4942,5232,:,5421,5300
A,F,ED0,NR,EL24,:,3809,:,:,:,:,4011,4009,:,3936,4131,4300,:,4386,4364
A,F,ED0,NR,EL25,:,3626,:,:,:,:,3763,3788,:,3594,3779,4107,:,4442,4538
A,F,ED0,NR,EL3,:,19987,:,:,:,:,18172,18432,:,20080,21076,22592,:,23863,23849
A,F,ED0,NR,EL30,:,19987,:,:,:,:,18172,18432,:,20080,21076,22592,:,23863,23849
A,F,ED0,NR,EL4,:,8666,:,:,:,:,9227,9204,:,9114,9559,10087,:,10478,10712
A,F,ED0,NR,EL41,:,1467,:,:,:,:,1577,1660,:,1518,1607,1553,:,1607,1676
A,F,ED0,NR,EL42,:,2479,:,:,:,:,2619,2557,:,2579,2594,2749,:,2866,2929
A,F,ED0,NR,EL43,:,4720,:,:,:,:,5031,4987,:,5017,5358,5785,:,6005,6107
A,F,ED0,NR,ES,547585,548988,552785,568293,591231,623143,657687,694567,724677,761301,801736,861126,885950,910447,928689
A,F,ED0,NR,ES1,45344,43690,42456,42045,42309,46492,48262,49993,52483,54632,57057,59330,60816,61838,63908
A,F,ED0,NR,ES11,29657,28410,27191,26734,26879,30817,31807,32950,34160,35065,36249,37601,38692,39034,40143
A,F,ED0,NR,ES12,10004,9707,9739,9661,9634,9612,9905,10045,10842,11398,11972,12338,12780,13156,13778
A,F,ED0,NR,ES13,5683,5573,5526,5650,5796,6063,6550,6998,7481,8169,8836,9391,9344,9648,9987
A,F,ED0,NR,ES2,50841,50692,51798,53226,55046,57148,63455,70613,74558,78265,81941,85612,83697,85853,87723
A,F,ED0,NR,ES21,26667,26726,27389,28223,29376,30666,33031,36755,38996,40806,42612,44125,44811,45722,46458
A,F,ED0,NR,ES22,6733,6780,7000,7231,7570,7753,8006,10278,10600,11443,11975,12856,10208,10626,11011
A,F,ED0,NR,ES23,3307,3284,3343,3432,3534,3639,3777,3935,4102,4376,4760,4957,4894,5102,5405
A,F,ED0,NR,ES24,14134,13902,14066,14340,14566,15090,18641,19645,20860,21640,22594,23674,23784,24403,24849
A,F,ED0,NR,ES3,71564,72555,75758,79194,85149,92267,99509,106527,114537,123670,132543,139385,141208,145863,148805
A,F,ED0,NR,ES30,71564,72555,75758,79194,85149,92267,99509,106527,114537,123670,132543,139385,141208,145863,148805
A,F,ED0,NR,ES4,71587,69702,68328,68551,69216,70208,71271,73166,74660,76949,78523,80653,91089,92593,94977
A,F,ED0,NR,ES41,28286,27508,26969,27296,28285,28817,29123,30012,30665,31632,32375,33195,33538,33872,35050
A,F,ED0,NR,ES42,26702,26096,25747,25967,25912,26469,27029,27882,28592,29774,30847,31828,41613,42833,43873
A,F,ED0,NR,ES43,16599,16098,15612,15288,15019,14922,15119,15272,15403,15543,15301,15630,15938,15888,16054
A,F,ED0,NR,ES5,164350,163874,166680,172911,181099,191609,203985,215655,224814,236025,251132,265256,269552,276248,281286
A,F,ED0,NR,ES51,102045,99479,100586,104329,108458,114949,121902,128464,134548,140095,148519,155851,158949,160914,165231
A,F,ED0,NR,ES52,50526,52385,53747,55670,59220,62900,67396,71759,74135,79080,85520,91695,92287,95863,96339
A,F,ED0,NR,ES53,11779,12010,12347,12912,13421,13760,14687,15432,16131,16850,17093,17710,18316,19471,19716
A,F,ED0,NR,ES6,116598,120590,119451,123397,129454,138030,143715,149812,154762,162347,170634,200538,209316,216043,220421
A,F,ED0,NR,ES61,97878,101710,100026,103248,108570,113145,117459,122521,125302,130900,138445,167452,175283,181751,186545
A,F,ED0,NR,ES62,18720,18880,19425,20149,20884,22013,23348,24368,26379,28101,28757,29547,30418,30628,29975
A,F,ED0,NR,ES63,:,:,:,:,:,1384,1422,1409,1470,1508,1596,1658,1717,1762,1818
A,F,ED0,NR,ES64,:,:,:,:,:,1488,1486,1514,1611,1838,1836,1881,1898,1902,2083
A,F,ED0,NR,ES7,24959,25427,25767,26250,26256,27389,27490,28801,28863,29413,29906,30352,30272,32009,31569
A,F,ED0,NR,ES70,24959,25427,25767,26250,26256,27389,27490,28801,28863,29413,29906,30352,30272,32009,31569
A,F,ED0,NR,FI,58029,60812,61919,67512,68216,67262,67799,66918,67986,69605,71507,73785,76422,78423,80864
A,F,ED0,NR,FI1,20499,6386,6467,6742,7050,66767,67320,66459,67505,69117,71019,73292,75910,77891,80319
A,F,ED0,NR,FI19,:,:,:,:,:,15072,14982,14916,15210,15669,16291,16986,17691,18475,19275
A,F,ED0,NR,FI1B,:,:,:,:,:,:,:,:,:,:,:,:,:,27160,27694
A,F,ED0,NR,FI1C,:,:,:,:,:,:,:,:,:,:,:,:,:,15352,15741
A,F,ED0,NR,FI1D,:,:,:,:,:,14830,15136,14822,15032,15244,15587,15991,16528,16904,17609
A,F,ED0,NR,FI2,6591,19238,19812,22031,22566,495,479,459,481,488,488,493,512,532,545
A,F,ED0,NR,FI20,6591,19238,19812,22031,22566,495,479,459,481,488,488,493,512,532,545
A,F,ED0,NR,FR,1173124,1168385,1179031,1191332,1198969,1203110,1219459,1279257,1280044,1264488,1252232,1244401,1242796,1247544,1250808
A,F,ED0,NR,FR1,:,228969,229630,230996,232086,232266,235881,239707,241582,238713,237055,236528,239608,242595,244918
A,F,ED0,NR,FR10,:,228969,229630,230996,232086,232266,235881,239707,241582,238713,237055,236528,239608,242595,244918
A,F,ED0,NR,FR2,:,205782,206396,206893,206915,206989,208805,209025,208459,205456,202683,200961,199505,199547,199790
A,F,ED0,NR,FR21,:,27237,27241,27248,27282,27157,27234,27035,26650,25759,25315,25133,24907,24964,24974
A,F,ED0,NR,FR22,:,39210,39390,39408,39546,39526,39914,39854,39746,39336,38632,38266,38118,38124,38168
A,F,ED0,NR,FR23,:,36266,36351,36237,35901,36002,36227,36494,36569,36286,35398,35338,35229,35535,35620
A,F,ED0,NR,FR24,:,45326,45709,46000,46250,46484,47079,47343,47333,46986,46799,46505,46369,46301,46954
A,F,ED0,NR,FR25,:,28649,28738,28952,28496,28608,28764,28615,28558,28173,27704,27230,26837,26662,26338
A,F,ED0,NR,FR26,:,29094,28967,29048,29440,29212,29587,29684,29603,28916,28835,28489,28045,27961,27736
A,F,ED0,NR,FR3,:,95039,95717,96416,96515,97144,97706,98335,98488,96654,95268,94609,92045,91855,90396
A,F,ED0,NR,FR30,:,95039,95717,96416,96515,97144,97706,98335,98488,96654,95268,94609,92045,91855,90396
A,F,ED0,NR,FR4,:,99895,99908,99910,100805,100512,100928,101884,100039,98354,97819,96798,96559,96221,96219
A,F,ED0,NR,FR41,:,45210,44993,44691,44895,44356,44452,44582,43926,43006,42556,42143,41861,41493,41107
A,F,ED0,NR,FR42,:,32241,32439,32796,33308,33720,33916,34333,33250,32725,32650,31951,31960,32315,32846
A,F,ED0,NR,FR43,:,22444,22476,22423,22602,22436,22560,22969,22863,22623,22613,22704,22738,22413,22266
A,F,ED0,NR,FR5,:,158444,161681,164809,166312,167729,171905,173945,174353,173334,171661,170151,169132,167909,167177
A,F,ED0,NR,FR51,:,67729,69291,71062,71697,72581,74693,75534,75665,75391,75206,74746,74472,74211,73889
A,F,ED0,NR,FR52,:,60968,62356,63356,63806,64191,65934,66974,67358,67295,65956,65255,64722,63967,63715
A,F,ED0,NR,FR53,:,29747,30034,30391,30809,30957,31278,31437,31330,30648,30499,30150,29938,29731,29573
A,F,ED0,NR,FR6,:,107540,109477,111945,113933,114802,115872,116920,117423,115883,114908,114449,114652,115599,116433
A,F,ED0,NR,FR61,:,50584,51557,52575,53647,53651,54439,54972,55141,54456,53891,53830,53930,54354,54769
A,F,ED0,NR,FR62,:,46225,47129,48278,49176,49929,50134,50443,50679,50015,49749,49487,49531,49824,50415
A,F,ED0,NR,FR63,:,10731,10791,11092,11110,11222,11299,11505,11603,11412,11268,11132,11191,11421,11249
A,F,ED0,NR,FR7,:,140948,142612,143842,144807,145086,147588,148724,149474,148217,146613,146181,146086,147082,147928
A,F,ED0,NR,FR71,:,118543,119975,120887,121599,121790,123934,124939,125583,124701,123448,123292,123448,124215,125283
A,F,ED0,NR,FR72,:,22405,22637,22955,23208,23296,23654,23785,23891,23516,23165,22889,22638,22867,22645
A,F,ED0,NR,FR8,:,131768,133610,136521,137596,138582,140774,141428,140946,138951,137479,136139,136994,138752,140461
A,F,ED0,NR,FR81,:,42865,43687,45026,45676,46230,47022,47960,47708,47350,46674,46309,46550,46839,47879
A,F,ED0,NR,FR82,:,84537,85469,87099,87529,88048,89336,89119,88831,87285,86435,85448,85974,87360,88057
A,F,ED0,NR,FR83,:,4366,4454,4396,4391,4304,4416,4349,4407,4316,4370,4382,4470,4553,4525
A,F,ED0,NR,FR9,:,47227,47200,47617,48290,48989,49169,49289,49280,48926,48746,48585,48215,47984,47486
A,F,ED0,NR,FR91,:,11101,11184,11191,11395,11507,10960,11079,10875,10733,10777,11065,10954,10664,10086
A,F,ED0,NR,FR92,:,9736,9646,9576,9474,9505,9663,9581,9488,9138,9018,8570,8401,8213,8100
A,F,ED0,NR,FR93,:,5165,5336,5431,5737,5929,6074,6288,6346,6753,6585,6810,6962,7504,7683
A,F,ED0,NR,FR94,:,21225,21034,21419,21684,22048,22472,22341,22571,22302,22366,22140,21898,21603,21617
A,F,ED0,NR,HR,:,:,:,:,:,:,:,:,:,43465,44484,45553,47910,48728,49377
A,F,ED0,NR,HR0,:,:,:,:,:,:,:,:,:,43465,:,:,:,48728,49377
A,F,ED0,NR,HR03,:,:,:,:,:,:,:,:,:,:,15343,15800,16487,16368,17209
A,F,ED0,NR,HR04,:,:,:,:,:,:,:,:,:,:,:,:,:,:,32168
A,F,ED0,NR,HU,186110,181732,177552,170562,165023,159538,157702,157305,157720,158111,156201,156979,158154,163234,164757
A,F,ED0,NR,HU1,:,:,:,43916,42490,41857,41897,42237,42798,43606,43981,45062,46444,48576,49484
A,F,ED0,NR,HU10,:,:,:,43916,42490,41857,41897,42237,42798,43606,43981,45062,46444,48576,49484
A,F,ED0,NR,HU2,:,:,:,51643,49966,47665,46633,46241,45920,46209,45529,45833,46239,48047,48249
A,F,ED0,NR,HU21,:,:,:,19062,18443,17604,16989,16841,16732,16870,16882,17031,17143,17756,17891
A,F,ED0,NR,HU22,:,:,:,15947,15429,14540,14279,14294,14229,14442,14366,14440,14744,15363,15628
A,F,ED0,NR,HU23,:,:,:,16634,16094,15521,15365,15106,14959,14897,14281,14362,14352,14928,14730
A,F,ED0,NR,HU3,:,:,:,75003,72567,70016,69172,68827,69002,68296,66691,66084,65471,66611,67024
A,F,ED0,NR,HU31,:,:,:,22192,21471,20792,20990,20931,20913,20698,20061,19831,19657,20021,20268
A,F,ED0,NR,HU32,:,:,:,29808,28840,27972,27529,27310,27209,27032,26645,26202,25838,26392,26384
A,F,ED0,NR,HU33,:,:,:,23003,22256,21252,20653,20586,20880,20566,19985,20051,19976,20198,20372
A,F,ED0,NR,IE,1572,1450,1658,1406,1663,1319,1483,727,771,777,942,969,29824,33600,35424
A,F,ED0,NR,IE0,1572,1450,1658,1406,1663,1319,1483,727,771,777,942,969,29824,33600,35424
A,F,ED0,NR,IE01,:,:,68,:,63,55,57,51,:,63,1162,131,7649,8611,9098
A,F,ED0,NR,IE02,:,:,1590,:,1600,1264,1426,676,:,714,6530,838,22175,24989,26326
A,F,ED0,NR,IS,:,:,:,:,:,:,:,:,:,:,5988,6119,6148,6199,6400
A,F,ED0,NR,IS0,:,:,:,:,:,:,:,:,:,:,5988,6119,6148,6199,6400
A,F,ED0,NR,IS00,:,:,:,:,:,:,:,:,:,:,5988,6119,6148,6199,6400
A,F,ED0,NR,IT,762704,761090,764284,759462,768680,780447,790722,793309,798616,795066,797433,794522,808706,811615,815656
A,F,ED0,NR,ITC,:,177147,179286,181110,183419,186474,191374,194177,197694,200011,200518,201637,205961,207551,209745
A,F,ED0,NR,ITC1,:,47594,48341,48626,49053,50052,51084,51536,52479,52955,53037,53490,54321,54951,55453
A,F,ED0,NR,ITC2,:,1443,1493,1446,1542,1480,1643,1660,1660,1715,1680,1720,1721,1718,1776
A,F,ED0,NR,ITC3,:,15903,16613,16385,16470,17119,17325,17479,17824,18030,17673,17548,18021,17866,18009
A,F,ED0,NR,ITC4,:,112207,112839,114653,116354,117823,121322,123502,125731,127311,128128,128879,131898,133016,134507
A,F,ED0,NR,ITF,:n,226517,222854,223167,324057,223604,221741,220633,218460,212191,211141,206621,209571,208723,207923
A,F,ED0,NR,ITF1,:,16937,17138,16998,16762,16773,16775,16610,16504,16333,16391,16450,17051,17536,17424
A,F,ED0,NR,ITF2,:,4335,4307,4132,4123,3958,3971,3932,3844,3745,3742,3468,3728,3687,3693
A,F,ED0,NR,ITF3,:n,99655,96557,97720,98196,99498,98431,97823,97829,94985,94815,93124,93260,93009,93036
A,F,ED0,NR,ITF4,:,64169,64543,64609,63759,64612,63894,64092,62936,61191,60342,58461,59098,58279,57539
A,F,ED0,NR,ITF5,:,8774,8746,8370,8220,8186,8216,8155,7934,7755,7764,7404,7568,7290,7315
A,F,ED0,NR,ITF6,:,32647,31563,31338,30509,30577,30454,30021,29413,28182,28087,27714,28866,28922,28916
A,F,ED0,NR,ITG,:,97303,99198,94305,92644,94061,95731,93999,93469,91085,91385,90740,91761,92614,92226
A,F,ED0,NR,ITG1,:,75766,78120,74192,72963,73850,75395,73758,73162,71292,71928,71623,71847,72368,72100
A,F,ED0,NR,ITG2,:,21537,21078,20113,19681,20211,20336,20241,20307,19793,19457,19117,19914,20246,20126
A,F,ED0,NR,ITH,:n,125698,127570,128837,133484,136509,140888,142442,144352,146109,147723,149038,151940,153004,154360
A,F,ED0,NR,ITH1,:,:,:,:,:,7048,7213,7287,7235,7284,7275,7490,7726,7789,7873
A,F,ED0,NR,ITH2,:,:,:,:,:,7482,7719,7722,7629,8228,7806,7788,7848,7793,7907
A,F,ED0,NR,ITH3,:,56978,58327,59110,60898,62418,63756,64068,64628,64963,65733,65985,67128,67270,67729
A,F,ED0,NR,ITH4,:,12495,12598,12340,13200,13371,14028,14141,14308,14431,14709,14751,15171,15318,15250
A,F,ED0,NR,ITH5,:,41862,42874,43560,45062,46190,48172,49224,50552,51203,52200,53024,54067,54834,55601
A,F,ED0,NR,ITI,:,134425,135376,132043,137564,139799,140988,142058,144641,145670,146666,146486,149473,149723,151402
A,F,ED0,NR,ITI1,:,37357,38534,39095,39559,40402,41703,42250,43217,43411,44090,44283,45146,45616,45869
A,F,ED0,NR,ITI2,:,9299,9678,9542,9810,9927,10180,10402,10605,10616,10872,10860,11496,11621,11953
A,F,ED0,NR,ITI3,:,17398,18050,18199,18319,18750,19043,19094,19257,19458,19525,19723,20291,20226,20458
A,F,ED0,NR,ITI4,:,70371,69114,65207,69876,70720,70062,70312,71562,72185,72179,71620,72540,72260,73122
A,F,ED0,NR,LI,:,:,:,:,:,:,:,:,:,:,355,354,368,357,:
A,F,ED0,NR,LI0,:,:,:,:,:,:,:,:,:,:,355,354,368,357,:
A,F,ED0,NR,LI00,:,:,:,:,:,:,:,:,:,:,355,354,368,357,:
A,F,ED0,NR,LT,43746,45050,44662,42162,42118,43341,41985,41653,42702,41735,42402,42959,42623,42425,43194
A,F,ED0,NR,LT0,43746,45050,44662,42162,42118,43341,41985,41653,42702,41735,42402,42959,42623,42425,43194
A,F,ED0,NR,LT00,43746,45050,44662,42162,42118,43341,41985,41653,42702,41735,42402,42959,42623,42425,43194
A,F,ED0,NR,LU,:,5896,5646,5550,7042,7234,7067,7204,7215,7098,7093,7279,7423,7504,7950
A,F,ED0,NR,LU0,:,5896,5646,5550,7042,7234,7067,7204,7215,7098,7093,7279,7423,7504,7950
A,F,ED0,NR,LU00,:,5896,5646,5550,7042,7234,7067,7204,7215,7098,7093,7279,7423,7504,7950
A,F,ED0,NR,LV,28871,27533,26945,25171,24558,28289,28938,30297,31250,32236,33036,34159,34096,35970,38036
