nuts;name;country_name;country_code
BE10;Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;Belgium;BE
BE21;Prov. Antwerpen;Belgium;BE
BE22;Prov. Limburg (BE);Belgium;BE
BE23;Prov. Oost-Vlaanderen;Belgium;BE
BE24;Prov. Vlaams-Brabant;Belgium;BE
BE25;Prov. West-Vlaanderen;Belgium;BE
BE31;Prov. Brabant Wallon;Belgium;BE
BE32;Prov. Hainaut;Belgium;BE
BE33;Prov. Liège;Belgium;BE
BE34;Prov. Luxembourg (BE);Belgium;BE
BE35;Prov. Namur;Belgium;BE
BEZZ;Extra-Regio NUTS 2;Belgium;BE
BG31;Severozapaden;Bulgaria;BG
BG32;Severen tsentralen;Bulgaria;BG
BG33;Severoiztochen;Bulgaria;BG
BG34;Yugoiztochen;Bulgaria;BG
BG41;Yugozapaden;Bulgaria;BG
BG42;Yuzhen tsentralen;Bulgaria;BG
BGZZ;Extra-Regio NUTS 2;Bulgaria;BG
CZ01;Praha;Czechia;CZ
CZ02;Střední Čechy;Czechia;CZ
CZ03;Jihozápad;Czechia;CZ
CZ04;Severozápad;Czechia;CZ
CZ05;Severovýchod;Czechia;CZ
CZ06;Jihovýchod;Czechia;CZ
CZ07;Střední Morava;Czechia;CZ
CZ08;Moravskoslezsko;Czechia;CZ
CZZZ;Extra-Regio NUTS 2;Czechia;CZ
DK01;Hovedstaden;Denmark;DK
DK02;Sjælland;Denmark;DK
DK03;Syddanmark;Denmark;DK
DK04;Midtjylland;Denmark;DK
DK05;Nordjylland;Denmark;DK
DKZZ;Extra-Regio NUTS 2;Denmark;DK
DE11;Stuttgart;Germany;DE
DE12;Karlsruhe;Germany;DE
DE13;Freiburg;Germany;DE
DE14;Tübingen;Germany;DE
DE21;Oberbayern;Germany;DE
DE22;Niederbayern;Germany;DE
DE23;Oberpfalz;Germany;DE
DE24;Oberfranken;Germany;DE
DE25;Mittelfranken;Germany;DE
DE26;Unterfranken;Germany;DE
DE27;Schwaben;Germany;DE
DE30;Berlin;Germany;DE
DE40;Brandenburg;Germany;DE
DE50;Bremen;Germany;DE
DE60;Hamburg;Germany;DE
DE71;Darmstadt;Germany;DE
